Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Beloha,-25.1667,45.05,83.05,67,92,13.18,MG,1611120838
São Filipe,14.8961,-24.4956,72.3,66,100,9.93,CV,1611120839
Ejigbo,7.9,4.3167,68.04,75,32,2.48,NG,1611120840
Mar del Plata,-38.0023,-57.5575,69.01,94,0,13.33,AR,1611120547
Broome,42.2506,-75.833,30.99,80,90,9.22,US,1611120844
Lamu,-2.2717,40.902,78.8,78,1,5.75,KE,1611120845
Jamestown,42.097,-79.2353,27.0,100,90,10.36,US,1611120847
Ulladulla,-35.35,150.4667,69.8,46,75,8.05,AU,1611120848
Tel Aviv-Yafo,32.0805,34.7805,55.4,54,40,18.41,IL,1611120849
Port Lincoln,-34.7333,135.8667,77.02,38,9,10.16,AU,1611120850
Zhigansk,66.7697,123.3711,-49.59,75,75,8.84,RU,1611120852
Puerto Ayora,-0.7393,-90.3518,75.0,94,27,1.99,EC,1611120853
Fortuna,40.5982,-124.1573,42.01,87,20,10.36,US,1611120854
Poya,-21.35,165.15,79.0,81,98,6.33,NC,1611120855
Rome,43.2128,-75.4557,28.0,80,90,8.05,US,1611120856
Campbell River,50.0163,-125.2446,41.0,100,90,2.3,CA,1611120811
Havre-St-Pierre,50.2334,-63.5986,-0.4,71,1,12.66,CA,1611120858
Menomonie,44.8755,-91.9193,6.01,85,1,3.44,US,1611120859
Charters Towers,-20.1,146.2667,89.22,44,22,13.96,AU,1611120861
Constitución,-35.3333,-72.4167,57.97,88,16,3.29,CL,1611120862
Mandan,46.8267,-100.8896,25.0,100,1,12.66,US,1611120865
Graaff-Reinet,-32.2522,24.5308,66.99,62,2,3.0,ZA,1611120866
New Norfolk,-42.7826,147.0587,75.0,55,20,18.41,AU,1611120867
Sisophon,13.5859,102.9737,85.77,36,24,4.97,KH,1611120868
Castro,-24.7911,-50.0119,62.94,98,100,7.38,BR,1611120869
Meiringen,46.7268,8.184,29.6,100,64,1.14,CH,1611120871
Liuli,-11.0833,34.6333,80.2,69,100,5.82,TZ,1611120872
Torbay,47.6666,-52.7314,28.99,80,90,14.97,CA,1611120873
Oktyabr'skoye,43.0645,44.7417,21.2,93,40,6.71,RU,1611120874
Kamenka,51.3223,42.7678,-4.0,86,98,7.02,RU,1611120875
Thompson,55.7435,-97.8558,-0.4,85,90,6.91,CA,1611120876
Woodward,36.4337,-99.3904,28.4,64,1,9.22,US,1611120877
Santarém,-2.4431,-54.7083,77.0,88,75,10.36,BR,1611120794
Caravelas,-17.7125,-39.2481,73.94,86,6,4.29,BR,1611120880
Tuktoyaktuk,69.4541,-133.0374,-0.4,85,90,13.8,CA,1611120881
Igarka,67.4667,86.5833,-32.12,79,0,4.47,RU,1611120882
Nome,64.5011,-165.4064,-2.2,65,1,10.36,US,1611120792
East London,-33.0153,27.9116,69.8,78,20,9.22,ZA,1611120841
The Valley,18.217,-63.0578,78.8,78,75,12.66,AI,1611120885
Maniitsoq,65.4167,-52.9,32.92,88,100,14.34,GL,1611120886
Antofagasta,-23.65,-70.4,66.2,82,0,3.44,CL,1611120887
Ancud,-41.8697,-73.8203,55.0,100,0,3.44,CL,1611120889
João Pinheiro,-17.7425,-46.1725,68.14,77,41,4.41,BR,1611120890
Miles City,46.4083,-105.8406,33.8,47,1,11.5,US,1611120790
Bangsund,64.3968,11.3949,26.6,68,0,20.71,NO,1611120893
General Roca,-39.0333,-67.5833,77.0,47,0,3.44,AR,1611120894
Fairbanks,64.8378,-147.7164,10.4,92,75,4.61,US,1611120656
George Town,5.4112,100.3354,88.0,62,20,6.91,MY,1611120613
Cidreira,-30.1811,-50.2056,71.98,73,72,11.79,BR,1611120899
Juruti,-2.1522,-56.0922,73.94,98,100,1.68,BR,1611120900
Korla,41.7597,86.1469,28.24,76,31,4.0,CN,1611120901
Laas,46.6166,10.7002,25.0,85,0,3.31,IT,1611120904
Broken Hill,-31.95,141.4333,87.8,11,69,9.22,AU,1611120905
Portland,45.5234,-122.6762,41.0,81,40,3.44,US,1611120358
Mossamedes,-15.1961,12.1522,73.13,70,84,2.51,AO,1611120908
Mundo Nuevo (Ojo de Agua),18.7,-95.5,72.05,94,97,8.01,MX,1611120909
Abhā,18.2164,42.5053,55.4,82,20,9.22,SA,1611120871
Baraki Barak,33.9675,68.9486,36.88,60,0,2.44,AF,1611120870
Bayan,46.0833,127.4,27.0,74,100,12.53,CN,1611120914
Almaznyy,48.0448,40.045,-4.0,84,12,6.71,RU,1611120915
Faanui,-16.4833,-151.75,81.0,77,25,12.5,PF,1611120916
Puerto Escondido,15.85,-97.0667,73.4,88,1,4.61,MX,1611120918
Ndélé,8.4109,20.6473,70.3,23,30,12.15,CF,1611120919
Lundazi,-12.2929,33.1782,65.7,96,100,4.63,ZM,1611120921
Kavaratti,10.5669,72.642,82.18,76,1,9.84,IN,1611120922
Ufa,54.775,56.0375,1.0,85,90,8.95,RU,1611120875
Buala,-8.145,159.5921,84.06,71,88,3.44,SB,1611120924
Jinan,36.6683,116.9972,48.0,46,22,1.72,CN,1611120747
Bonthe,7.5264,-12.505,73.27,91,0,4.63,SL,1611120926
Kavieng,-2.5744,150.7967,83.79,74,98,10.42,PG,1611120928
Guerrero Negro,27.9769,-114.0611,63.95,72,93,20.27,MX,1611120931
Bengkulu,-3.8004,102.2655,85.86,61,31,10.11,ID,1611120932
Arraial do Cabo,-22.9661,-42.0278,74.19,89,76,19.01,BR,1611120933
Leningradskiy,69.3833,178.4167,-23.98,79,27,4.16,RU,1611120934
Pangnirtung,66.1451,-65.7125,27.19,91,89,17.36,CA,1611120935
Bethel,41.3712,-73.414,30.99,69,1,4.61,US,1611120936
Coyhaique,-45.5752,-72.0662,60.8,67,90,4.36,CL,1611120937
Hualmay,-11.0964,-77.6139,70.72,83,97,5.86,PE,1611120673
Mmathubudukwane,-24.6,26.4333,69.8,83,0,2.3,BW,1611120940
Lebanon,36.2081,-86.2911,43.0,65,40,3.44,US,1611120801
Buraidah,26.326,43.975,51.8,76,0,8.05,SA,1611120943
Benguela,-12.5763,13.4055,74.64,71,100,5.23,AO,1611120944
Xining,36.6167,101.7667,32.13,56,97,1.41,CN,1611120945
Aleksandrovskoye,44.7142,43.0008,15.8,79,75,8.95,RU,1611120946
Tuatapere,-46.1333,167.6833,50.88,88,100,15.37,NZ,1611120947
Bilma,18.6853,12.9164,51.44,42,0,9.13,NE,1611120950
Angoche,-16.2325,39.9086,86.54,67,97,2.08,MZ,1611120951
Lebu,-37.6167,-73.65,56.5,90,0,14.2,CL,1611120952
Makkah al Mukarramah,21.4267,39.8261,68.43,55,7,7.74,SA,1611120697
Bela,25.9333,81.9833,73.63,44,0,9.31,IN,1611120954
São João da Barra,-21.6403,-41.0511,74.86,87,0,13.85,BR,1611120955
Aksarka,66.5606,67.7975,-19.48,87,100,8.97,RU,1611120956
Laurel,39.0993,-76.8483,36.0,86,1,4.65,US,1611120694
Yellowknife,62.456,-114.3525,12.2,92,90,17.27,CA,1611120959
Manokwari,-0.8667,134.0833,83.28,70,19,5.84,ID,1611120680
Nikolskoye,59.7035,30.7861,23.0,80,75,6.71,RU,1611120961
Upernavik,72.7868,-56.1549,26.47,84,100,2.01,GL,1611120962
Pervomayskoye,43.919,46.7102,29.37,87,97,5.3,RU,1611120963
Liepāja,56.5419,21.0367,19.4,86,90,11.5,LV,1611120964
Zhezkazgan,47.8043,67.7144,25.39,98,77,14.23,KZ,1611120966
Cockburn Town,21.4612,-71.1419,77.16,79,62,20.33,TC,1611120760
Sucúa,-2.4667,-78.1667,66.2,79,99,2.62,EC,1611120837
Kushmurun,52.4503,64.6311,8.58,94,93,10.27,KZ,1611120969
Forsytheganj,52.6333,29.7333,1.67,93,7,7.18,BY,1611120970
La Ronge,55.1001,-105.2842,35.6,64,98,6.91,CA,1611120971
Srednekolymsk,67.45,153.6833,-44.01,80,36,2.44,RU,1611120972
Bosaso,11.2842,49.1816,75.09,63,71,6.26,SO,1611120973
Sittwe,20.15,92.9,75.6,49,0,4.94,MM,1611120976
Ambanja,-13.6833,48.45,77.07,91,100,11.54,MG,1611120977
Desaguadero,-16.5656,-69.0417,46.29,82,100,8.57,PE,1611120979
Anadyr,64.75,177.4833,-20.2,69,40,6.71,RU,1611120981
Vernon,50.2581,-119.2691,34.0,80,87,5.75,CA,1611120982
Opuwo,-18.0607,13.84,70.16,65,85,0.56,NA,1611120983
Esperance,-33.8667,121.9,73.4,56,90,19.57,AU,1611120984
Ukiah,39.1502,-123.2078,44.6,49,1,3.91,US,1611120985
Mahébourg,-20.4081,57.7,84.2,79,75,8.05,MU,1611120986
Katsuura,35.1333,140.3,48.0,39,20,6.91,JP,1611120987
Lüderitz,-26.6481,15.1594,69.19,66,0,8.01,NA,1611120988
San Pedro de Urabá,8.2752,-76.3764,72.57,95,31,1.79,CO,1611120725
Yulara,-25.2406,130.9889,98.6,8,0,9.22,AU,1611120991
Kiunga,-6.1219,141.2906,90.63,55,91,4.79,PG,1611120992
Geraldton,-28.7667,114.6,82.4,54,4,17.27,AU,1611120760
Airai,-8.9266,125.4092,70.9,95,93,3.2,TL,1611120994
Chengde,40.9725,117.9361,29.12,79,1,2.95,CN,1611120997
Saldanha,-33.0117,17.9442,60.8,82,0,8.05,ZA,1611120998
Provideniya,64.3833,-173.3,-4.0,77,32,13.42,RU,1611120999
Salekhard,66.53,66.6019,-19.1,87,100,11.56,RU,1611121000
Batesville,35.7698,-91.641,39.2,65,1,4.61,US,1611121001
Kruisfontein,-34.0033,24.7314,68.0,80,43,1.99,ZA,1611121002
Sibut,5.718,19.0739,69.76,26,12,3.06,CF,1611121003
Pevek,69.7008,170.3133,-31.58,85,100,7.34,RU,1611121004
Avera,33.194,-82.5271,53.6,46,90,3.44,US,1611121006
Mandalgovi,45.7625,106.2708,23.04,83,41,10.11,MN,1611121007
Pisco,-13.7,-76.2167,69.8,83,0,5.75,PE,1611121008
Hong Kong,22.2855,114.1577,69.01,62,64,5.01,HK,1611120765
Bocana de Paiwas,12.7857,-85.1227,69.17,95,13,12.55,NI,1611121010
Doha,25.2867,51.5333,69.8,56,0,9.22,QA,1611120799
Norman Wells,65.282,-126.8329,6.8,78,90,21.85,CA,1611121013
Bredasdorp,-34.5322,20.0403,66.2,59,62,4.61,ZA,1611121015
Mocuba,-16.8392,36.9856,80.53,86,100,2.1,MZ,1611121016
Pagudpud,18.5616,120.7868,91.4,49,75,11.5,PH,1611121019
Sandwick,60.0,-1.25,39.2,75,40,12.66,GB,1611121020
Waipawa,-41.4122,175.5153,62.6,48,20,23.02,NZ,1611121022
Touros,-5.1989,-35.4608,77.0,88,40,4.61,BR,1611121024
Khovd,48.0056,91.6419,23.54,67,99,0.6,MN,1611121025
Kayerkan,69.3497,87.7602,-30.6,84,100,2.28,RU,1611121026
Øksfjord,70.2396,22.3479,21.2,85,0,4.61,NO,1611121027
Labuan,5.2767,115.2417,86.0,70,20,3.44,MY,1611121030
Oistins,13.0667,-59.5333,78.8,69,40,21.85,BB,1611121031
Olafsvik,64.8945,-23.7142,30.9,93,74,35.75,IS,1611121032
Shimoda,34.6667,138.95,46.4,53,75,10.36,JP,1611120799
Kapaa,22.0752,-159.319,71.6,94,90,17.27,US,1611121034
Banda Aceh,5.5577,95.3222,84.99,68,44,8.12,ID,1611121035
Orlik,52.5178,99.825,6.49,78,20,12.48,RU,1611121036
Guiyang,26.5833,106.7167,48.2,71,90,2.24,CN,1611121038
Luba,3.4568,8.5547,73.4,88,20,3.44,GQ,1611121040
Nanortalik,60.1432,-45.2371,26.13,91,47,14.07,GL,1611121041
Natalicio Talavera,-25.6333,-56.3,69.67,92,40,3.96,PY,1611121043
Comodoro Rivadavia,-45.8667,-67.5,71.6,43,0,6.91,AR,1611121026
Kulhudhuffushi,6.6221,73.07,81.68,68,22,6.89,MV,1611121045
Chokurdakh,70.6333,147.9167,-33.97,84,80,1.54,RU,1611121047
Jaynagar,26.5833,86.15,73.63,45,0,6.55,IN,1611121048
Klaksvík,62.2266,-6.589,35.6,87,40,20.71,FO,1611121049
Havøysund,70.9963,24.6622,24.8,63,40,10.36,NO,1611121050
Dawei,14.0833,98.2,85.69,34,18,8.88,MM,1611121052
Marsh Harbour,26.5412,-77.0636,68.59,60,18,10.67,BS,1611120916
Iskateley,67.6803,53.1512,-9.74,90,100,15.93,RU,1611121054
Flinders,-34.5833,150.8552,72.0,60,26,3.0,AU,1611121055
Bunia,1.5667,30.25,70.52,57,63,3.87,CD,1611121056
Muhafazat Lahij,13.1667,44.5833,72.3,67,57,5.73,YE,1611121058
Yumen,40.2833,97.2,27.61,77,97,20.85,CN,1611121059
Oberá,-27.4871,-55.1199,70.23,91,45,4.59,AR,1611121060
Arona,28.0996,-16.681,61.0,77,0,9.22,ES,1611121061
Choix,26.7092,-108.3219,61.12,77,100,6.62,MX,1611121062
Vardø,70.3705,31.1107,23.0,93,75,20.71,NO,1611121063
Launceston,-41.45,147.1667,73.4,33,0,12.66,AU,1611120977
Mojokerto,-7.4664,112.4338,87.8,70,40,14.97,ID,1611121066
Zhanjiang,21.2815,110.3427,64.2,80,96,12.97,CN,1611121067
Hofn,64.2539,-15.2082,33.62,86,44,21.32,IS,1611121068
Hithadhoo,-0.6,73.0833,81.18,71,0,10.83,MV,1611121069
Warrington,53.3925,-2.5802,52.0,93,90,12.66,GB,1611120970
Port Hardy,50.6996,-127.4199,41.0,100,40,2.3,CA,1611121072
Warman,52.3168,-106.5679,32.0,74,90,23.02,CA,1611121073
Sovetskiy,61.3614,63.5842,-3.12,88,100,8.14,RU,1611121074
Caucayá,-0.1934,-74.7819,71.04,98,100,3.89,CO,1611121075
Yangi Marg`ilon,40.4272,71.7189,46.4,71,49,2.3,UZ,1611121076
Laguna,38.421,-121.4238,52.0,37,1,5.75,US,1611121077
La Paz,-16.5,-68.15,41.0,100,75,5.75,BO,1611121047
Mount Gambier,-37.8333,140.7667,78.8,34,0,12.66,AU,1611121080
Chernyshevskiy,63.0128,112.4714,-48.1,78,100,2.77,RU,1611121081
Bumba,2.1833,22.4667,75.31,65,13,2.57,CD,1611121082
Al Bardīyah,31.7561,25.0865,51.85,66,5,15.88,LY,1611121084
Plouzané,48.3833,-4.6167,50.0,93,90,23.02,FR,1611121085
Yatou,37.15,122.3833,43.39,72,34,12.75,CN,1611121043
Iqaluit,63.7506,-68.5145,21.2,86,90,13.8,CA,1611121088
Tura,25.5198,90.2201,74.05,42,3,3.38,IN,1611121089
Kabo,7.6994,18.629,68.65,24,10,3.91,CF,1611121090
Asău,46.4333,26.4,24.01,93,75,10.36,RO,1611121091
Santa Maria,-29.6842,-53.8069,62.38,86,0,7.36,BR,1611121002
Palmer,42.1584,-72.3287,30.0,74,90,3.44,US,1611120885
Yunyang,33.4474,112.7142,48.0,39,91,3.91,CN,1611121096
Daru,-9.0763,143.2092,86.38,71,82,10.96,PG,1611120860
San Bartolomé de Tirajana,27.9248,-15.5733,57.2,77,0,5.75,ES,1611121098
Neiafu,-18.65,-173.9833,84.2,79,40,5.75,TO,1611121099
Lokoja,7.8024,6.743,70.21,43,62,1.16,NG,1611120901
Luwuk,-0.9516,122.7875,83.88,73,99,4.38,ID,1611121102
Bonavista,48.6499,-53.1147,28.99,80,100,9.22,CA,1611121103
Khatanga,71.9667,102.5,-25.92,86,100,7.34,RU,1611121104
Kropotkin,45.4375,40.5756,16.36,97,95,2.39,RU,1611121105
Port-Gentil,-0.7193,8.7815,80.6,89,40,4.61,GA,1611121106
Necochea,-38.5473,-58.7368,67.44,53,33,13.13,AR,1611121108
Cherskiy,68.75,161.3,-44.61,79,100,6.02,RU,1611121109
Nuuk,64.1835,-51.7216,37.4,65,75,16.11,GL,1611121111
Mehamn,71.0357,27.8492,23.0,74,75,8.05,NO,1611121112
Isangel,-19.55,169.2667,86.0,84,75,5.75,VU,1611120850
Okhotsk,59.3833,143.3,-5.57,83,99,4.7,RU,1611121114
Sitka,57.0531,-135.33,37.4,87,90,6.91,US,1611121116
Atar,20.5169,-13.0499,59.77,27,100,11.36,MR,1611121117
Carnarvon,-24.8667,113.6333,86.0,66,0,20.71,AU,1611121118
Kānker,20.2719,81.4931,86.54,30,0,8.61,IN,1611121119
Cocobeach,1.0002,9.5823,77.0,94,40,5.23,GA,1611121120
Candolim,15.5181,73.7626,86.0,51,0,6.91,IN,1611121121
Marabu,4.4148,114.0089,80.6,89,40,5.75,MY,1611121123
Itoman,26.1247,127.6694,71.01,60,75,14.97,JP,1611121124
Cayenne,4.9333,-52.3333,77.0,83,20,3.44,GF,1611121001
Weiser,44.251,-116.9693,30.0,80,1,3.42,US,1611121126
Henties Bay,-22.116,14.2845,66.99,86,50,0.69,NA,1611121127
Bubaque,11.2833,-15.8333,77.13,56,56,9.33,GW,1611121128
Batticaloa,7.7102,81.6924,81.41,76,6,3.09,LK,1611121129
Nizwá,22.9333,57.5333,77.67,20,0,2.82,OM,1611121131
Schladming,47.3929,13.687,32.0,80,100,4.23,AT,1611121133
Vestmannaeyjar,63.4427,-20.2734,35.73,80,52,16.31,IS,1611121134
Naze,28.3667,129.4833,66.2,55,75,14.97,JP,1611120901
Parabel',58.6978,81.4825,-24.65,85,0,3.78,RU,1611121137
Safakulevo,54.9901,62.5442,6.39,95,100,4.41,RU,1611121138
Pimentel,-6.8367,-79.9342,69.98,84,100,10.65,PE,1611121139
Dīr,35.2058,71.8756,51.1,33,0,9.28,PK,1611121140
Tiksi,71.6872,128.8694,-26.3,85,100,4.18,RU,1611121142
Dunedin,-45.8742,170.5036,55.62,73,100,10.6,NZ,1611121143
Labuhan,-6.8844,112.2051,83.19,79,97,9.69,ID,1611121145
Teya,60.3778,92.6267,-18.76,83,86,3.4,RU,1611121146
Tual,-5.6667,132.75,83.48,72,96,1.48,ID,1611121147
Lorengau,-2.0226,147.2712,84.27,71,88,6.17,PG,1611121148
Pasni,25.2631,63.471,69.85,71,0,1.48,PK,1611121149
Shestakovo,56.4915,103.96,-0.85,87,100,12.12,RU,1611121150
Lewiston,44.1003,-70.2148,19.0,88,90,2.26,US,1611121124
Mana,5.6592,-53.7767,75.6,83,100,11.36,GF,1611121153
Kaitangata,-46.2817,169.8464,52.0,68,99,13.0,NZ,1611121154
Antalaha,-14.9003,50.2788,78.24,86,100,4.21,MG,1611121155
Vila Velha,-20.3297,-40.2925,73.0,88,20,3.44,BR,1611121157
Marevo,57.3146,32.0804,7.21,94,0,4.68,RU,1611121161
Sioux Lookout,50.1001,-91.917,-4.0,84,90,8.05,CA,1611121162
Olinda,-8.0089,-34.8553,78.8,69,40,6.91,BR,1611121163
Alta Floresta,-9.8756,-56.0861,73.4,100,0,1.14,BR,1611121165
Umm Kaddadah,13.6017,26.6876,56.21,36,1,23.98,SD,1611121167
Bulgan,48.8125,103.5347,22.73,86,5,3.38,MN,1611121169
Kabompo,-13.5927,24.2008,67.95,94,100,5.26,ZM,1611121170
Miraflores,19.2167,-98.8083,60.8,44,40,11.5,MX,1611121172
Husavik,66.0449,-17.3389,30.2,93,90,18.41,IS,1611121173
Arman',59.7,150.1667,-12.14,79,0,7.58,RU,1611121174
Luena,-11.7833,19.9167,64.17,88,100,6.02,AO,1611121175
Sibolga,1.7427,98.7792,85.15,61,97,4.74,ID,1611121176
Shelburne,44.0787,-80.2041,23.0,80,78,9.89,CA,1611121179
Chumikan,54.7183,135.315,-9.67,77,32,22.19,RU,1611121181
Ruska Poliana,49.417,31.9201,7.34,92,0,4.68,UA,1611121182
Ulety,51.3572,112.4849,13.78,84,68,8.3,RU,1611121183
Mollet del Vallès,41.5403,2.2131,52.0,93,90,3.24,ES,1611121039
San Patricio,28.017,-97.5169,68.0,83,90,10.36,US,1611121185
Araguaçu,-12.9306,-49.8264,72.07,90,99,4.43,BR,1611121186
Kichmengskiy Gorodok,59.9816,45.7854,1.49,93,84,5.1,RU,1611121188
Aripuanã,-9.1667,-60.6333,71.53,99,100,0.43,BR,1611121189
Kathu,7.9178,98.3332,84.2,61,20,10.36,TH,1611121190
Viedma,-40.8135,-62.9967,67.01,78,28,5.32,AR,1611121191
Moyo,3.6609,31.7247,79.7,32,58,4.36,UG,1611121192
Ust'-Ordynskiy,52.805,104.7508,8.6,92,0,6.71,RU,1611121193
Leshukonskoye,64.8989,45.7622,4.91,95,100,1.92,RU,1611121194
San Andrés,12.5847,-81.7006,80.6,78,40,20.71,CO,1611121196
Mogadishu,2.0371,45.3438,81.03,73,97,20.2,SO,1611121197
Porvoo,60.3923,25.6651,23.0,94,8,7.09,FI,1611121198
Aklavik,68.2191,-135.0107,1.4,85,100,4.61,CA,1611121199
Stabat,3.761,98.4513,84.2,74,40,4.61,ID,1611121202
Camacupa,-12.0167,17.4833,61.79,75,100,3.98,AO,1611121204
Batagay,67.6333,134.6333,-36.6,78,95,1.81,RU,1611121205
Haysville,37.5645,-97.3523,32.0,59,1,5.75,US,1611121078
Galle,6.0367,80.217,82.72,68,79,3.58,LK,1611120999
Soanierana Ivongo,-16.9167,49.5833,81.55,84,100,8.59,MG,1611121210
Sobolevo,54.4299,31.8996,-4.07,92,44,4.43,RU,1611121211
Raudeberg,61.9875,5.1352,34.0,68,0,8.84,NO,1611121213
Merauke,-8.4667,140.3333,86.2,66,93,9.22,ID,1611121214
Edgewater,28.9889,-80.9023,53.01,93,1,4.09,US,1611121215
Burnie,-41.0667,145.9167,70.0,52,0,13.0,AU,1611121218
Marawi,7.9986,124.2928,82.0,84,98,7.0,PH,1611121219
Alice Springs,-23.7,133.8833,96.8,11,0,6.91,AU,1611121221
Tasiilaq,65.6145,-37.6368,8.6,72,94,3.0,GL,1611121222
Gravdal,68.1214,13.5031,28.4,64,75,6.91,NO,1611121223
Kaeo,-35.1,173.7833,63.0,74,44,8.01,NZ,1611121224
Margate,51.3813,1.3862,48.99,93,100,5.01,GB,1611121226
Kharitonovo,61.4009,47.4978,4.84,94,92,4.85,RU,1611121229
Codrington,-38.2667,141.9667,65.19,59,0,13.85,AU,1611121230
Margaritas,20.4538,-102.4739,60.53,50,56,1.7,MX,1611121231
Kidal,18.4411,1.4078,57.31,32,0,15.32,ML,1611121233
Lompoc,34.6391,-120.4579,55.99,43,0,5.75,US,1611121046
Griffith,41.5284,-87.4237,28.4,86,90,14.97,US,1611121235
Lata,40.1629,-8.3327,55.0,84,100,10.0,PT,1611121237
Port Macquarie,-31.4333,152.9167,72.0,68,98,1.01,AU,1611121120
Young,-32.6833,-57.6333,66.15,57,0,7.36,UY,1611121141
Cabo San Lucas,22.8909,-109.9124,63.0,78,100,8.99,MX,1611121240
